Date,Time,Latitude,Longitude,Temperature,Salinity,pH,Distance
2015.10.18,23:20,37.646958,121.461963,19.229917,30.88775,7.983118,23.64135125
2015.10.18,23:21,37.648858,121.462262,19.225767,30.894567,8.007033,23.85204044
2015.10.18,23:23,37.652682,121.463022,19.2286,30.9036,8.043633,24.27985078
2015.10.18,23:24,37.654518,121.463382,19.233133,30.908233,8.053133,24.48517297
2015.10.18,23:25,37.65645,121.46382,19.2416,30.9109,8.0582,24.70261263
2015.10.18,23:26,37.658345,121.464195,19.253133,30.77,8.0628,24.91465095
2015.10.18,23:29,37.663993,121.465403,19.2826,30.915233,8.0683,25.54879556
2015.10.18,23:30,37.665918,121.465795,19.290867,30.828967,8.072367,25.76451522
2015.10.18,23:31,37.667813,121.466103,19.298667,30.922333,8.074967,25.97513495
2015.10.18,23:32,37.669715,121.46656,19.306733,30.9076,8.0765,26.1898828
2015.10.18,23:33,37.671595,121.46704,19.3109,30.9241,8.079133,26.40278952
2015.10.18,23:34,37.673497,121.467487,19.315033,30.925333,8.0809,26.61732862
2015.10.18,23:38,37.68105,121.469065,19.3173,30.928967,8.083633,27.46499947
2015.10.18,23:39,37.682898,121.46957,19.316767,30.9312,8.084433,27.67506034
2015.10.18,23:40,37.68482,121.469993,19.319933,30.9326,8.086633,27.89127897
2015.10.18,23:41,37.686695,121.470132,19.321533,30.934067,8.0871,28.09620801
2015.10.19,0:55,37.8257,121.511345,19.005667,31.3157,8.0989,43.96940669
2015.10.19,0:59,37.832888,121.51377,18.988833,31.3272,8.1004,44.79646266
2015.10.19,1:01,37.836682,121.514663,18.9854,31.3341,8.102767,45.22477317
2015.10.19,1:02,37.838502,121.515098,18.980333,31.342067,8.102533,45.43038113
2015.10.19,1:03,37.840473,121.515598,18.9793,31.345567,8.102933,45.65366352
2015.10.19,1:04,37.842355,121.51605,18.9732,31.349767,8.103933,45.86632725
2015.10.19,1:05,37.844187,121.516525,18.964033,31.3521,8.104167,46.0740842
2015.10.19,1:06,37.84615,121.517033,18.962267,31.3565,8.1049,46.29667818
2015.10.19,1:07,37.848012,121.51761,18.957033,31.3626,8.106733,46.50983078
2015.10.19,1:08,37.849897,121.518147,18.954633,31.367367,8.106467,46.72462015
2015.10.19,1:09,37.85178,121.518698,18.950833,31.371867,8.1069,46.93948949
2015.10.19,1:10,37.853577,121.519245,18.9416,31.377767,8.107567,47.14499223
2015.10.19,1:11,37.85547,121.519792,18.9384,31.3823,8.108567,47.36085618
2015.10.19,1:12,37.85735,121.520378,18.938933,31.383367,8.108567,47.57614018
2015.10.19,1:13,37.859217,121.520977,18.931867,31.3902,8.110667,47.79029519
2015.10.19,1:14,37.861072,121.521568,18.922233,31.397133,8.110567,48.00298583
2015.10.19,1:15,37.862932,121.522175,18.913867,31.402867,8.112167,48.21655369
2015.10.19,1:16,37.864858,121.522715,18.908,31.405867,8.112567,48.43583009
2015.10.19,1:17,37.866678,121.52321,18.9034,31.408133,8.1131,48.64271622
2015.10.19,1:18,37.868603,121.523765,18.889133,31.4143,8.1148,48.86220171
2015.10.19,1:19,37.870393,121.524378,18.882533,31.420933,8.1155,49.06833873
2015.10.19,1:20,37.872325,121.524998,18.871067,31.429233,8.116,49.28995021
2015.10.19,1:21,37.874123,121.525615,18.865033,31.433967,8.117167,49.49703503
2015.10.19,1:22,37.87597,121.526188,18.857467,31.438367,8.118033,49.70847976
2015.10.19,1:23,37.877813,121.526792,18.849333,31.443833,8.1192,49.92014677
2015.10.19,1:24,37.879688,121.527347,18.8427,31.4493,8.1198,50.13423304
2015.10.19,1:25,37.881583,121.528015,18.841467,31.4529,8.1221,50.3528629
2015.10.19,1:26,37.883445,121.528548,18.830733,31.4565,8.123033,50.56508086
2015.10.19,1:27,37.885313,121.52896,18.8264,31.4602,8.1241,50.77539448
2015.10.19,1:28,37.887193,121.529482,18.819867,31.463267,8.125333,50.98932461
2015.10.19,1:29,37.889055,121.53011,18.813633,31.4661,8.1262,51.20354563
2015.10.19,1:30,37.890872,121.530557,18.8058,31.4691,8.126567,51.409095
2015.10.19,1:31,37.8928,121.531112,18.794933,31.474233,8.127933,51.6289018
2015.10.19,1:32,37.894662,121.531655,18.786067,31.478267,8.129833,51.84133143
2015.10.19,1:33,37.896487,121.532053,18.781667,31.480633,8.130367,52.04671678
2015.10.19,1:34,37.898393,121.532672,18.768567,31.483833,8.130833,52.26549482
